title,vector
The Queen,"[0.24322318, -0.23073438, -0.09104389, 0.09333576, 0.09481778, 0.19468229, 0.30315676, 0.04073559, 0.04743518, 0.38811415, -0.04559593, 0.05037774, -0.39925858, -0.07051994, -0.0285624, -0.2860246, -0.09551804, 0.32298097, -0.08388221, 0.16000885, -0.29544383, 0.01622594, 0.11527694, -0.29137754, 0.4111544, -0.10948043, 0.5037806, 0.03206751, 0.31842086, 0.24235994, 0.08770648, -0.23055327, 0.2696089, -0.19975951, -0.00303804, -0.23050661, 0.20537627, 0.17195702, -0.17189902, -0.13627481, -0.37685502, 0.21245328, -0.18553285, 0.14264473, 0.08003483, 0.31975338, -0.11695395, 0.1304801, 0.03349803, -0.0341741, -0.5923791, 0.21152978, 0.09887845, -0.08147144, -0.3086999, 0.12430278, -0.23774824, 0.2882001, 0.08561054, -0.18023065, -0.16105488, -0.54548883, -0.1052881, -0.21359862, 0.03144891, -0.22157381, 0.26573318, -0.02276079, 0.10628648, 0.31188694, 0.15852106, 0.23411918, 0.33344957, -0.07582807, -0.38959268, -0.49975172, -0.54486835, -0.05968999, 0.02947752, -0.21676864, -0.06003176, 0.14657606, -0.32593083, -0.34063712, 0.06718129, 0.09270199, 0.16907038, 0.14225627, -0.51714873, 0.2449905, -0.2052389, -0.11935885, 0.58667266, 0.20022137, -0.3303952, 0.137625]"
Man of Steel,"[0.06388576, -0.246712, -0.09575464, 0.12960473, -0.13846968, -0.00513816, 0.54688805, -0.08756589, 0.19781207, 0.33665007, -0.04479207, 0.08561198, -0.17278045, -0.14677337, -0.13315699, -0.29492626, -0.15262556, 0.1454298, 0.13616131, 0.10665803, -0.13306536, 0.10991417, 0.05766433, -0.5417457, 0.10997322, -0.1100986, 0.18477264, 0.06085391, 0.08339948, 0.21066707, -0.18262526, 0.21593048, 0.36847416, -0.20939893, -0.08820017, -0.21749362, -0.02204995, -0.03008547, 0.03644649, 0.32460704, -0.03930916, 0.26835316, -0.18679912, 0.1130746, 0.20776299, 0.07282821, 0.20224981, 0.31095737, 0.13585305, -0.25498435, -0.23778933, 0.11014349, -0.12566037, -0.1920905, -0.01263855, -0.00106697, -0.12848383, 0.09649162, 0.05249693, -0.04842865, 0.1969889, -0.07848129, -0.24964802, 0.07887819, 0.17174861, 0.02991491, 0.20940906, -0.22373757, 0.04186692, 0.32133722, -0.15708882, 0.02657413, -0.19153278, -0.07543608, -0.267662, -0.11797904, -0.33243403, -0.06955673, 0.00529311, -0.01778844, -0.12656513, -0.01038635, -0.23499657, -0.11177728, 0.04802568, 0.23719363, 0.03838237, 0.05747048, -0.2862012, 0.28131643, -0.11832537, 0.03534979, 0.1021819, 0.2011574, -0.12352185, 0.04065367]"
Housekeeping,"[-0.077304, -0.15440483, -0.1669053, 0.20874968, 0.12121644, -0.15763274, 0.190319, 0.15587796, 0.11706325, 0.07128352, -0.17094749, 0.10046218, -0.22695059, 0.02471169, -0.11367708, -0.21818823, 0.00712345, 0.5191609, -0.15827982, -0.18998055, -0.05578396, 0.05603617, 0.17149138, -0.0575591, 0.30643627, -0.12272458, 0.36242437, 0.18299733, -0.00384554, 0.03957622, 0.0426406, -0.27728033, 0.36499116, -0.15835188, 0.02151443, -0.3581279, 0.19905137, 0.0867255, -0.0474387, -0.0392103, -0.52258825, 0.10194858, 0.03645619, 0.0149712, 0.25212577, 0.13506284, 0.01351885, 0.34938046, 0.17011273, -0.22116666, -0.46775445, -0.02370622, -0.05400199, -0.02888327, -0.27014425, 0.17846306, -0.232316, 0.03982034, 0.13315596, -0.15969425, 0.24803266, -0.4817502, 0.2030612, -0.09269191, 0.05748909, -0.04411276, 0.13907267, -0.12047552, -0.04934734, 0.40607697, -0.13562776, 0.22549571, 0.15793703, 0.01813846, -0.3082758, -0.18469094, -0.18359347, 0.07110738, -0.35295087, -0.14290918, -0.18986376, 0.22907728, -0.12143694, -0.1788034, -0.07463326, 0.1038411, -0.03595868, 0.11024089, -0.17422807, 0.0991059, -0.09581337, -0.03445293, 0.58551294, 0.3188409, -0.12473184, 0.06465054]"
Sweet Home Alabama,"[0.00251966, -0.42740703, -0.10934979, 0.00354787, 0.08022748, 0.19100726, 0.30586377, 0.22742653, 0.19729558, 0.12149523, 0.06903317, -0.08173425, -0.28406003, -0.13486779, -0.14737515, -0.18523802, -0.07639647, 0.13796481, 0.06046141, -0.02908084, -0.13790622, 0.29703704, -0.23224837, -0.27226567, 0.02693081, 0.02467156, 0.3244852, 0.40152878, -0.04510174, 0.14426307, -0.10296673, -0.08555838, 0.1851939, 0.05889302, 0.0236214, -0.13255414, 0.0836169, 0.0019896, 0.01691765, -0.04061649, -0.25108045, 0.06229174, -0.1449379, 0.13157092, 0.13617814, 0.02488997, 0.1115367, 0.27347213, 0.17276296, -0.04246907, -0.29642886, 0.20609142, 0.01796929, -0.12583116, -0.24443175, -0.04379506, 0.02788637, -0.05460811, 0.11540068, -0.02016198, 0.0455735, -0.4735061, -0.14248002, -0.11478467, 0.19351126, -0.18862906, 0.22378868, -0.17720206, 0.04763873, 0.18013693, 0.00505531, 0.16195679, 0.12797165, -0.08815705, -0.10622957, -0.33569103, -0.22492914, -0.26763272, -0.13082944, -0.24694426, -0.19153403, 0.14226364, -0.18113045, 0.0361898, 0.17150082, 0.1357819, 0.08924086, 0.01020935, -0.29688442, 0.3082455, 0.02452435, -0.04704418, 0.6657038, 0.37159795, -0.08990049, 0.04394313]"
The Hunger Games: Mockingjay - Part 2,"[0.06862887, -0.16677916, -0.08456491, -0.01426493, 0.13670163, 0.19328788, 0.23290855, 0.01196432, 0.14079003, 0.11952719, -0.01661561, 0.05559186, -0.36609167, -0.11877158, -0.1623081, -0.2595116, -0.14658596, 0.24831074, 0.0744972, -0.02748183, -0.19574662, 0.07666235, -0.02443166, -0.2631574, 0.10090646, -0.10941928, 0.49890947, -0.09175572, 0.26942873, 0.20234963, -0.06272564, -0.09425382, 0.2972476, -0.0946977, -0.02701431, -0.15416534, 0.19879869, 0.2121109, -0.04995034, -0.09592678, -0.2226117, 0.07108429, -0.31291118, 0.00082396, 0.06372771, 0.07076102, -0.04361758, 0.17370641, 0.15457693, -0.0571814, -0.550839, -0.02257738, 0.1667312, -0.07081229, -0.28490296, 0.16772793, -0.1755435, -0.10574578, 0.1254678, -0.14037961, -0.01895589, -0.49733916, -0.07878631, -0.14667688, 0.12143187, -0.11699656, 0.14807703, -0.20009275, 0.10690119, 0.24030675, 0.07657988, 0.07464962, 0.18294339, -0.05210912, -0.22778484, -0.23093262, -0.33927387, -0.18120822, 0.03114456, -0.26061702, -0.01381031, 0.11356056, -0.22658283, 0.00691951, 0.0482273, 0.17112301, 0.09025315, 0.16395019, -0.30508888, 0.40755332, -0.08478238, -0.02626077, 0.6251877, 0.3166873, -0.20072587, 0.27255207]"
Chocolat,"[0.2508289, -0.19377168, -0.12476619, 0.12439794, -0.04151871, 0.30504656, 0.34301844, 0.07733443, 0.3045705, 0.17473288, 0.04691247, -0.08569793, -0.30537996, 0.03249066, -0.18434979, -0.35826644, 0.01221605, 0.18080632, -0.13629729, 0.06525692, -0.20981327, 0.10295268, 0.10749925, -0.4419189, 0.31481147, -0.15082206, 0.48571688, 0.08950187, 0.21437313, 0.07394905, -0.23384365, -0.15097854, 0.25529915, -0.2950678, -0.04931463, 0.06569764, 0.16114794, 0.07669257, -0.02808054, 0.05046458, -0.24857385, 0.38865995, -0.2595733, 0.18685886, -0.03097899, 0.15996236, -0.0787154, 0.2113495, 0.05906104, -0.02013476, -0.16978301, 0.13464235, 0.07815156, -0.07566368, -0.12159496, 0.08608548, -0.3485797, 0.10059866, -0.07365047, -0.07835016, -0.11832213, -0.3725015, -0.28929767, -0.37266493, 0.07597692, -0.06789251, 0.23412473, -0.12551789, 0.10708094, 0.04913317, 0.05514957, 0.24960609, 0.0015741, -0.15209612, -0.14839114, -0.16237226, -0.44922966, -0.11594581, 0.14784078, -0.13257079, -0.17519687, -0.12807891, -0.27852505, -0.14022829, 0.08345766, 0.24595448, -0.02497663, 0.12946317, -0.36343825, 0.4194859, -0.03814806, 0.05635899, 0.3417673, 0.2934221, -0.08113241, 0.20077895]"
The Magdalene Sisters,"[0.0786449, -0.13941863, -0.03221191, 0.08193901, -0.01091137, 0.11861396, 0.32705936, -0.0413482, 0.04454077, 0.2965001, -0.11900544, 0.05390995, -0.28654876, -0.05859918, -0.02196075, -0.01870311, 0.01984879, 0.22350396, 0.08175337, 0.09761208, -0.23839617, 0.04854979, -0.1157815, -0.4261895, 0.11055272, -0.2522451, 0.24627347, 0.23988473, 0.09153195, 0.02269787, 0.09931619, -0.06324144, 0.24893248, -0.20912217, 0.05941331, -0.29393914, 0.11817333, 0.05480594, -0.10740004, 0.13200435, -0.0973468, 0.17946057, -0.280137, 0.12549782, 0.25942448, 0.04398092, -0.06189107, 0.3453655, 0.4267363, -0.23471488, -0.53338814, -0.08707482, -0.05610551, -0.2908919, -0.1607392, 0.16870396, -0.21606797, 0.02086986, -0.10557207, -0.22910248, 0.09777705, -0.4090324, 0.20070285, -0.0429012, 0.21960753, -0.16321066, 0.20110364, -0.23456705, 0.31583908, 0.320393, 0.07275163, 0.09673991, 0.04563388, -0.0470129, -0.35871512, -0.22322676, -0.30828083, -0.15996401, -0.10960559, -0.2932517, -0.12651835, 0.35088173, -0.3427874, -0.07417136, 0.05552815, 0.04729998, 0.22394355, 0.14030337, -0.4294544, 0.2953293, -0.18416648, -0.08518983, 0.54905456, 0.37611994, -0.19631505, 0.12554346]"
Safe House,"[0.175191, -0.14007792, 0.01414601, -0.00710467, -0.07110094, -0.03052475, 0.37060034, 0.06404244, -0.02819654, 0.09337731, 0.08415404, -0.105629, -0.27058452, 0.07564066, -0.2549133, -0.21644546, -0.20317632, 0.13698402, -0.08049595, -0.0037578, -0.11146839, 0.0610314, -0.08612864, -0.14251031, -0.01461906, 0.06183086, 0.40594864, 0.21092561, 0.07895474, 0.36224216, -0.06542693, -0.06129392, 0.38754094, -0.24725203, -0.01488022, 0.01206585, -0.04138837, 0.02245703, 0.12672521, 0.30439445, -0.26624537, 0.19325382, -0.06954367, -0.01512511, 0.3429236, -0.00944885, 0.08478772, 0.16338, 0.09784275, 0.01079599, -0.23315647, 0.2062007, -0.07670736, -0.0443719, -0.10908342, 0.23591699, -0.10168926, 0.1652013, 0.04605431, 0.07180163, 0.16306135, -0.44384325, -0.314355, -0.10151077, 0.1316347, -0.09518853, 0.0841967, -0.18574008, 0.13273548, 0.1410022, 0.23706594, 0.15049706, -0.22659056, 0.19247858, -0.10918795, -0.14816892, -0.23571695, -0.2983496, -0.33328515, -0.23402132, -0.20574786, -0.21767598, -0.24024864, -0.03685511, -0.04835698, 0.11524861, 0.04070333, 0.0200339, -0.0759939, 0.27641624, 0.02633858, -0.13330387, 0.49938127, 0.2671985, -0.35086545, 0.04113396]"
Smoke,"[-0.06376468, -0.29576728, -0.09900475, 0.14129183, -0.19772628, 0.09949817, 0.36518925, 0.27811998, 0.13981733, 0.29374474, -0.03744563, 0.06927276, -0.29477096, -0.16480318, -0.27095342, -0.13264745, 0.13382857, 0.29302415, -0.06445184, 0.02036791, -0.16554935, 0.24942331, 0.04123897, -0.28187534, 0.10680432, -0.0028587, 0.3513051, 0.4837831, 0.06482877, -0.05564085, -0.15764457, -0.10703246, 0.24208322, -0.09746948, 0.06056318, -0.21526806, 0.05553653, -0.11413574, -0.03598741, -0.06609809, -0.17441705, 0.2266596, 0.1776743, 0.21451585, -0.05057023, -0.08994082, 0.04929038, 0.38486755, 0.13189334, -0.02369711, -0.3798207, 0.34616402, -0.14760663, -0.2885775, -0.16393963, -0.06713998, -0.04431615, -0.03582054, 0.1498827, -0.0298271, 0.2845236, -0.26916802, 0.13112897, -0.1314079, 0.12387398, -0.18224841, 0.23371363, 0.03696434, 0.17500247, 0.04006255, -0.04824009, 0.18058574, -0.00876825, -0.1259977, 0.01614066, -0.23258916, -0.25774783, -0.42595175, -0.18932363, -0.16565207, -0.1848904, 0.2224928, -0.30198693, -0.23669018, -0.13936648, 0.1577914, 0.18428902, 0.09063409, -0.33570427, 0.35845807, -0.0286357, -0.18188927, 0.5288055, 0.27609712, -0.01314687, 0.08384236]"
Fuck You Goethe 2,"[-0.143660203, -0.348049045, 0.0147396382, 0.0828128234, -0.024518583, 0.106712706, 0.239402249, 0.130692333, 0.0966918916, 0.464433223, 0.0360019132, 0.000392213638, -0.200806975, -0.0228781458, -0.316888362, -0.297602654, -0.0879681557, 0.0868225619, 0.034364, -0.0370905027, -0.22781457, 0.0149879679, -0.17690599, -0.320907384, 0.117999211, -0.113624506, 0.445894629, 0.16463165, 0.0993693024, 0.290346026, -0.0581346639, -0.0575594194, 0.43839699, -0.131579041, 0.0255864728, -0.12940456, 0.225959837, 0.0826971456, -0.16483824, 0.0230689328, -0.146430165, 0.216122314, -0.137997538, 0.0121823251, -0.171325222, 0.137292176, 0.161467865, 0.275930375, 0.289932758, -0.0844961405, -0.350299507, 0.124601528, 0.0419408232, -0.126625106, -0.173841044, -0.0833597183, -0.24068673, 0.0440677889, 0.0674592853, -0.197128937, 0.0787677765, -0.392546684, -0.126492307, -0.0662056059, 0.0320291556, 0.0360714644, 0.258915156, -0.0579145625, 0.041940432, 0.302875489, 0.176258504, 0.242125452, 0.0782915056, 0.112520099, 0.041136872, -0.187059999, -0.284408629, -0.184125662, -0.137128994, -0.215910181, -0.180182561, 0.0497912802, -0.287551999, -0.178863406, 0.0120096179, -0.0570698343, 0.30977726, 0.106186219, -0.424903125, 0.42712, -0.0977755785, -0.125004232, 0.588445187, 0.165723681, -0.239582449, 0.166736171]"
